Time,Closing,Dividen yield,Growth,conti,annual,Dividen,DividenMonth,warton,,
35125,4970.83,2.16,1.035334139,0.034724215,0.416690575,0.021370026,0.001803062,8.9708,0.001803062,0.001780836
35156,5146.47,2.08,1.019417193,0.019231084,0.230773012,0.020586634,0.001739,8.9575,0.001739,0.001715553
35186,5246.4,2.04,0.961434507,-0.039328831,-0.471945975,0.020194707,0.001703051,8.9425,0.001703051,0.001682892
35217,5044.07,2.13,0.977216811,-0.023046736,-0.276560838,0.021076326,0.001776252,8.9675,0.001776252,0.001756361
35247,4929.15,2.18,1.043471998,0.042553613,0.510643352,0.021565778,0.001820502,8.9817,0.001820502,0.001797148
35278,5143.43,2.08,1.02870458,0.028300322,0.339603861,0.020586634,0.001736476,8.9392,0.001736476,0.001715553
35309,5291.07,2.02,1.058164039,0.056535367,0.678424409,0.019998687,0.00168727,8.935,0.00168727,0.001666557
35339,5598.82,1.92,1.074631797,0.071978089,0.863737067,0.019018006,0.001602482,8.9792,0.001602482,0.001584834
35370,6016.67,1.77,0.985101393,-0.015010706,-0.180128469,0.017545179,0.001481732,8.9217,0.001481732,0.001462098
35400,5927.03,1.83,1.030799574,0.030334787,0.36401744,0.01813457,0.001526294,9.0533,0.001526294,0.001511214
35431,6109.58,1.77,1.00789907,0.007868036,0.094416428,0.017545179,0.001474742,9.0167,0.001474742,0.001462098
35462,6157.84,1.72,0.950044171,-0.051246799,-0.614961592,0.017053755,0.001434263,8.8383,0.001434263,0.001421146
35490,5850.22,1.81,1.021607734,0.021377597,0.256531159,0.017938145,0.001511621,8.85,0.001511621,0.001494845
35521,5976.63,1.8,1.067845927,0.065643467,0.787721599,0.017839918,0.001501809,8.9825,0.001501809,0.00148666
35551,6382.12,1.68,1.008714972,0.008677216,0.104126595,0.016660441,0.001402155,8.955,0.001402155,0.00138837
35582,6437.74,1.66,1.068337646,0.066103839,0.793246067,0.016463726,0.001390174,8.9558,0.001390174,0.001371977
35612,6877.68,1.56,0.961340161,-0.039426967,-0.473123601,0.015479571,0.001300465,8.95,0.001300465,0.001289964
35643,6611.79,1.62,1.064799396,0.062786421,0.753437053,0.01607018,0.001350582,8.9358,0.001350582,0.001339182
35674,7040.23,1.53,0.971894384,-0.028508139,-0.342097665,0.015184135,0.001275068,8.9825,0.001275068,0.001265345
35704,6842.36,1.58,0.951832409,-0.049366301,-0.592395612,0.015676479,0.001322134,9.0525,0.001322134,0.001306373
35735,6512.78,1.67,1.028660572,0.02825754,0.339090485,0.016562088,0.001397811,9.11,0.001397811,0.001380174
35765,6699.44,1.64,1.000113442,0.000113436,0.001361231,0.016266972,0.001370816,9.19,0.001370816,0.001355581
35796,6700.2,1.65,1.058548999,0.056899101,0.682789213,0.016365354,0.001375132,9.22,0.001375132,0.00136378
35827,7092.49,1.51,1.06570471,0.06363628,0.763635361,0.01498713,0.001263919,8.97,0.001263919,0.001248928
35855,7558.5,1.42,1.014088774,0.01399045,0.167885399,0.014100124,0.00118604,8.97,0.00118604,0.00117501
35886,7664.99,1.39,0.990187854,-0.009860602,-0.118327227,0.013804281,0.00116045,8.9,0.00116045,0.001150357
35916,7589.78,1.41,0.970632877,-0.029806969,-0.357683632,0.01400152,0.00117743,8.9417,0.00117743,0.001166793
35947,7366.89,1.46,0.940889575,-0.060929495,-0.73115394,0.014494446,0.001223648,9.02,0.001223648,0.001207871
35977,6931.43,1.58,0.797917601,-0.225749943,-2.708999319,0.015676479,0.001319679,9.1533,0.001319679,0.001306373
36008,5530.71,1.97,1.015081246,0.014968655,0.179623859,0.019508466,0.001645667,9.1092,0.001645667,0.001625706
36039,5614.12,1.9,1.105833149,0.100599032,1.207188385,0.018821754,0.001586114,8.9117,0.001586114,0.00156848
36069,6208.28,1.72,1.021840188,0.021605107,0.259261288,0.017053755,0.001438446,8.9367,0.001438446,0.001421146
36100,6343.87,1.69,1.022394847,0.022147765,0.265773178,0.016758784,0.001407849,8.9375,0.001407849,0.001396565
36130,6485.94,1.66,1.037561248,0.036873005,0.442476066,0.016463726,0.001387302,9.0042,0.001387302,0.001371977
36161,6729.56,1.6,0.9380539,-0.063947869,-0.767374434,0.015873349,0.00133649,9,0.00133649,0.001322779
36192,6312.69,1.7,1.045162997,0.044172851,0.530074216,0.016857117,0.001420208,8.9717,0.001420208,0.00140476
36220,6597.79,1.61,1.063189341,0.061273203,0.735278432,0.01597177,0.00134715,8.8942,0.00134715,0.001330981
36251,7014.7,1.51,0.975351761,-0.024957092,-0.299485107,0.01498713,0.001260841,8.85,0.001260841,0.001248928
36281,6841.8,1.56,1.024594405,0.024296832,0.291561982,0.015479571,0.001300099,8.9008,0.001300099,0.001289964
36312,7010.07,1.52,1.010122581,0.010071691,0.120860287,0.015085637,0.001272359,8.925,0.001272359,0.001257136
36342,7081.03,1.51,0.984434468,-0.015687947,-0.188255364,0.01498713,0.001262084,8.9425,0.001262084,0.001248928
36373,6970.81,1.54,0.998122169,-0.001879596,-0.022555151,0.015282624,0.001287758,8.9825,0.001287758,0.001273552
36404,6957.72,1.54,1.042901985,0.042007198,0.504086371,0.015282624,0.001288385,8.97,0.001288385,0.001273552
36434,7256.22,1.49,1.036797396,0.036136535,0.433638419,0.014790085,0.001241845,9.0167,0.001241845,0.001232507
36465,7523.23,1.45,1.118369371,0.111871705,1.342460464,0.01439588,0.001213728,9.1367,0.001213728,0.001199657
36495,8413.75,1.31,1.008005943,0.007974065,0.095688781,0.013014937,0.001093444,9.205,0.001093444,0.001084578
36526,8481.11,1.3,1.076390944,0.073613727,0.88336472,0.012916225,0.001088793,9.2392,0.001088793,0.001076352
36557,9128.99,1.17,1.036521017,0.03586993,0.430439156,0.011632084,0.000982649,8.975,0.000982649,0.00096934
36586,9462.39,1.13,0.987869872,-0.012204298,-0.146451579,0.011236632,0.000942151,8.9192,0.000942151,0.000936386
36617,9347.61,1.15,0.989770647,-0.010282032,-0.123384386,0.011434378,0.000962884,9.005,0.000962884,0.000952865
36647,9251.99,1.19,1.101973738,0.097102879,1.165234546,0.011829752,0.000993131,9.193,0.000993131,0.000985813
36678,10195.45,1.07,1.020681775,0.020470811,0.245649727,0.01064316,0.000896243,9.1417,0.000896243,0.00088693
36708,10406.31,1.05,1.080874008,0.077769981,0.933239768,0.010445258,0.000881797,9.1803,0.000881797,0.000870438
36739,11247.91,0.98,0.922653186,-0.080501861,-0.966022336,0.009752291,0.000818661,9.212,0.000818661,0.000812691
36770,10377.92,1.06,0.928853759,-0.07380397,-0.885647646,0.010544214,0.00088778,9.2174,0.00088778,0.000878685
36800,9639.57,1.14,0.914970274,-0.088863702,-1.066364426,0.01133551,0.000950763,9.1693,0.000950763,0.000944626
36831,8819.92,1.3,1.012898076,0.012815604,0.153787253,0.012916225,0.001083436,9.561,0.001083436,0.001076352
36861,8933.68,1.26,1.043452418,0.042534848,0.510418179,0.012521281,0.001057482,9.4522,0.001057482,0.00104344
36892,9321.87,1.23,0.866641564,-0.143129808,-1.717557698,0.01222497,0.001025491,9.5644,0.001025491,0.001018748
36923,8078.72,1.45,0.941733344,-0.060033119,-0.720397427,0.01439588,0.001207828,9.7636,0.001207828,0.001199657
36951,7608,1.55,1.044509727,0.043547614,0.52257137,0.015381102,0.001298001,9.8816,0.001298001,0.001281759
36982,7946.63,1.5,1.027085695,0.02672537,0.32070444,0.014888612,0.001253972,9.9711,0.001253972,0.001240718
37012,8161.87,1.5,0.947864889,-0.053543309,-0.642519711,0.014888612,0.001252017,10.2252,0.001252017,0.001240718
37043,7736.35,1.58,0.993968732,-0.00604953,-0.072594354,0.015676479,0.001316537,10.1919,0.001316537,0.001306373
37073,7689.69,1.61,0.962226046,-0.038505881,-0.462070576,0.01597177,0.001343832,10.3406,0.001343832,0.001330981
37104,7399.22,1.69,0.924227148,-0.078797406,-0.945568873,0.016758784,0.001412192,10.4565,0.001412192,0.001396565
37135,6838.56,1.78,1.006893264,0.006869614,0.08243537,0.017643435,0.001485642,10.1672,0.001485642,0.001470286
37165,6885.7,1.73,1.078416138,0.075493426,0.905921108,0.017152059,0.001441109,9.9302,0.001441109,0.001429338
37196,7425.65,1.59,1.035385454,0.034773777,0.417285326,0.015774919,0.001325026,9.8457,0.001325026,0.001314577
37226,7688.41,1.54,0.994807769,-0.005205757,-0.062469089,0.015282624,0.00129037,9.9273,0.00129037,0.001273552
37257,7648.49,1.57,0.998563115,-0.001437918,-0.017255019,0.01557803,0.001313227,10.0508,0.001313227,0.001298169
37288,7637.5,1.62,1.028015712,0.027630451,0.331565411,0.01607018,0.001353388,10.3435,0.001353388,0.001339182
37316,7851.47,1.57,0.97604525,-0.024246331,-0.29095597,0.01557803,0.00130961,10.2891,0.00130961,0.001298169
37347,7663.39,1.61,0.999052639,-0.00094781,-0.011373725,0.01597177,0.001344988,10.3141,0.001344988,0.001330981
37377,7656.13,1.66,0.933318792,-0.069008452,-0.828101424,0.016463726,0.001350267,10.3448,0.001350267,0.001371977
37408,7145.61,1.77,0.924402535,-0.078607658,-0.943291896,0.017545179,0.00143061,10.2299,0.00143061,0.001462098
37438,6605.42,1.94,1.000988582,0.000988094,0.011857125,0.019214219,0.001554302,10.2748,0.001554302,0.001601185
37469,6611.95,1.83,0.934734836,-0.067492388,-0.809908651,0.01813457,0.001571765,10.4006,0.001571765,0.001511214
37500,6180.42,2,1.011062355,0.011001615,0.132019376,0.019802627,0.001683839,10.4156,0.001683839,0.001650219
37530,6248.79,1.94,1.051470765,0.050189912,0.602278949,0.019214219,0.001662619,10.398,0.001662619,0.001601185
37561,6570.42,1.86,1.006714944,0.006692499,0.080309986,0.018429135,0.001588514,10.4455,0.001588514,0.001535761
37591,6614.54,1.9,0.993189247,-0.006834052,-0.082008628,0.018821754,0.001590153,10.5265,0.001590153,0.00156848
37622,6569.49,1.93,0.997812616,-0.00218978,-0.026277363,0.019116117,0.001616687,10.6294,0.001616687,0.00159301
