Date, ZC100YR, ZC300YR, ZC500YR, ZC700YR, ZC1000YR, ZC1200YR, ZC1400YR, ZC1500YR, 
9/2/2008,0.026026657,0.027912854,0.030190541,0.032320968,0.036010572,0.038556959,0.040637203,0.041396796, 
10/1/2008,0.025641349,0.029076389,0.032077272,0.034829075,0.038418285,0.040767572,0.042777156,0.043541303, 
11/3/2008,0.018874226,0.023945349,0.03007259,0.034730105,0.040032014,0.043060965,0.045463178,0.046322185, 
12/1/2008,0.014992875,0.019003877,0.024172769,0.028129177,0.033477301,0.036957061,0.039863677,0.040946845, 
1/2/2009,0.008907656,0.015043142,0.020238583,0.024538511,0.030533478,0.034191263,0.037134734,0.038218173, 
2/2/2009,0.010088723,0.017227824,0.021870181,0.026058144,0.032246673,0.035989513,0.038974824,0.040063277, 
3/2/2009,0.007357913,0.014300594,0.019119486,0.023579588,0.031075013,0.035671567,0.039070241,0.040197191, 
4/1/2009,0.006404694,0.013354773,0.017791119,0.021989933,0.029039965,0.033481271,0.036953557,0.038199409, 
5/1/2009,0.004333316,0.014213531,0.020714935,0.025506165,0.032575821,0.036890553,0.040172198,0.041307438, 
6/1/2009,0.005183072,0.01870641,0.025897223,0.030062047,0.036034454,0.039762958,0.042543451,0.043461976, 
7/2/2009,0.004476765,0.018914704,0.025286141,0.029403544,0.034993033,0.03820264,0.040672177,0.041543015, 
8/4/2009,0.006142735,0.020409239,0.027687938,0.031571226,0.037055933,0.04046913,0.042931652,0.043694108, 
9/1/2009,0.005235791,0.018910268,0.025603947,0.029335895,0.035372373,0.039120112,0.04172182,0.042495772, 
10/1/2009,0.00537468,0.018622128,0.025117099,0.028700115,0.034339559,0.037940995,0.040565173,0.041399093, 
11/2/2009,0.005938442,0.019844521,0.027039942,0.030850596,0.03636428,0.039823589,0.0422676,0.042991447, 
12/1/2009,0.004567406,0.017066063,0.024303996,0.028620567,0.034793463,0.038516478,0.041182808,0.042023793, 
1/4/2010,0.007380743,0.020958278,0.028189305,0.032664996,0.03831509,0.041452606,0.0436368,0.044306968, 
2/1/2010,0.00596481,0.01847603,0.025528996,0.030214566,0.036244585,0.03944357,0.041606422,0.042278969, 
3/1/2010,0.00662844,0.019271232,0.026359057,0.030845857,0.036421139,0.039422074,0.041505252,0.042174229, 
4/1/2010,0.01001063,0.022973659,0.028989856,0.032850852,0.037472675,0.039757191,0.041268422,0.041751093, 
5/3/2010,0.012637678,0.024438607,0.030102877,0.033578735,0.037133351,0.038903082,0.04026807,0.040792432, 
6/1/2010,0.011002099,0.02178558,0.026612694,0.029892022,0.033621483,0.03548343,0.036991398,0.037613992, 
7/2/2010,0.010064836,0.018954117,0.024470155,0.028106978,0.032147677,0.034339198,0.036100288,0.036792713, 
8/3/2010,0.010624417,0.01785099,0.023425219,0.0275601,0.032467369,0.035065787,0.037019044,0.037734064, 
9/1/2010,0.009984873,0.015459372,0.020700702,0.024848153,0.029909737,0.032696386,0.034861227,0.035666362, 
10/1/2010,0.011970735,0.015817775,0.020115229,0.02430097,0.029587,0.032165139,0.033929136,0.034528695, 
11/1/2010,0.011833912,0.015794912,0.020016122,0.024451314,0.030065997,0.032626943,0.034268912,0.034813611, 
12/1/2010,0.013546391,0.01964264,0.024614421,0.028703924,0.033154116,0.035006288,0.036123274,0.036475302, 
1/4/2011,0.013908546,0.020057773,0.024909503,0.028899824,0.033323211,0.035129635,0.036126464,0.036398892, 
2/1/2011,0.012918413,0.020370146,0.026225303,0.030619296,0.035184346,0.037077292,0.038204565,0.038545157, 
3/1/2011,0.013596349,0.021458432,0.026626221,0.030345939,0.034435226,0.036219702,0.037301525,0.037634966, 
4/1/2011,0.013879643,0.022339171,0.027603611,0.031268247,0.035287388,0.036999819,0.037991503,0.03828327, 
5/2/2011,0.013873727,0.02083429,0.025760604,0.029513163,0.033660703,0.035529637,0.036784145,0.037229343, 
